currency_name,exchange_rate,currency_code,exchange_date,updated_at
Фунт стерлінгів,58.1636,GBP,2026-01-16,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-16,2026-05-04T05:25:21Z
Долар США,43.3927,USD,2026-01-16,2026-05-02T19:18:27Z
Євро,50.4375,EUR,2026-01-17,2026-05-02T19:18:27Z
Фунт стерлінгів,58.1636,GBP,2026-01-17,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-17,2026-05-04T05:25:21Z
Долар США,43.3927,USD,2026-01-17,2026-05-02T19:18:27Z
Євро,50.4375,EUR,2026-01-18,2026-05-02T19:18:27Z
Фунт стерлінгів,58.1636,GBP,2026-01-18,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-18,2026-05-04T05:25:21Z
Долар США,43.3927,USD,2026-01-18,2026-05-02T19:18:27Z
Євро,50.4372,EUR,2026-01-19,2026-05-02T19:18:27Z
Фунт стерлінгів,58.1691,GBP,2026-01-19,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-19,2026-05-04T05:25:21Z
Долар США,43.413,USD,2026-01-19,2026-05-02T19:18:27Z
Євро,50.3031,EUR,2026-01-20,2026-05-02T19:18:27Z
Фунт стерлінгів,58.0091,GBP,2026-01-20,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-20,2026-05-04T05:25:21Z
Долар США,43.2678,USD,2026-01-20,2026-05-02T19:18:27Z
Євро,50.7219,EUR,2026-01-21,2026-05-02T19:18:28Z
Фунт стерлінгів,58.1483,GBP,2026-01-21,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-21,2026-05-04T05:25:21Z
Долар США,43.2522,USD,2026-01-21,2026-05-02T19:18:28Z
Євро,50.6669,EUR,2026-01-22,2026-05-02T19:18:28Z
Фунт стерлінгів,57.9593,GBP,2026-01-22,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-22,2026-05-04T05:25:21Z
Долар США,43.1759,USD,2026-01-22,2026-05-02T19:18:28Z
Євро,50.5201,EUR,2026-01-23,2026-05-02T19:18:28Z
Фунт стерлінгів,57.9405,GBP,2026-01-23,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-23,2026-05-04T05:25:21Z
Долар США,43.1667,USD,2026-01-23,2026-05-02T19:18:28Z
Євро,50.5201,EUR,2026-01-24,2026-05-02T19:18:28Z
Фунт стерлінгів,57.9405,GBP,2026-01-24,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-24,2026-05-04T05:25:21Z
Долар США,43.1667,USD,2026-01-24,2026-05-02T19:18:28Z
Євро,50.5201,EUR,2026-01-25,2026-05-02T19:18:28Z
Фунт стерлінгів,57.9405,GBP,2026-01-25,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-25,2026-05-04T05:25:21Z
Долар США,43.1667,USD,2026-01-25,2026-05-02T19:18:28Z
Євро,50.6539,EUR,2026-01-26,2026-05-02T19:18:28Z
Фунт стерлінгів,58.3586,GBP,2026-01-26,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-26,2026-05-04T05:25:21Z
Долар США,43.1391,USD,2026-01-26,2026-05-02T19:18:28Z
Євро,51.0647,EUR,2026-01-27,2026-05-02T19:18:28Z
Фунт стерлінгів,58.8703,GBP,2026-01-27,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-27,2026-05-04T05:25:21Z
Долар США,43.1253,USD,2026-01-27,2026-05-02T19:18:28Z
Євро,51.2297,EUR,2026-01-28,2026-05-02T19:18:28Z
Фунт стерлінгів,59.0091,GBP,2026-01-28,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-28,2026-05-04T05:25:21Z
Долар США,42.9563,USD,2026-01-28,2026-05-02T19:18:28Z
Євро,51.2286,EUR,2026-01-29,2026-05-02T19:18:28Z
Фунт стерлінгів,58.9826,GBP,2026-01-29,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-29,2026-05-04T05:25:21Z
Долар США,42.7689,USD,2026-01-29,2026-05-02T19:18:28Z
Євро,51.2423,EUR,2026-01-30,2026-05-02T19:18:28Z
Фунт стерлінгів,59.1692,GBP,2026-01-30,2026-05-02T19:18:28Z
Ukrainian Hryvnia,1.0,UAH,2026-01-30,2026-05-04T05:25:21Z
Долар США,42.8483,USD,2026-01-30,2026-05-02T19:18:28Z
Євро,51.2423,EUR,2026-01-31,2026-05-02T19:18:29Z
Фунт стерлінгів,59.1692,GBP,2026-01-31,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-01-31,2026-05-04T05:25:21Z
Долар США,42.8483,USD,2026-01-31,2026-05-02T19:18:29Z
Євро,51.2423,EUR,2026-02-01,2026-05-02T19:18:29Z
Фунт стерлінгів,59.1692,GBP,2026-02-01,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-01,2026-05-04T05:25:21Z
Долар США,42.8483,USD,2026-02-01,2026-05-02T19:18:29Z
Євро,51.0225,EUR,2026-02-02,2026-05-02T19:18:29Z
Фунт стерлінгів,58.9083,GBP,2026-02-02,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-02,2026-05-04T05:25:21Z
Долар США,42.8113,USD,2026-02-02,2026-05-02T19:18:29Z
Євро,50.9062,EUR,2026-02-03,2026-05-02T19:18:29Z
Фунт стерлінгів,58.8169,GBP,2026-02-03,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-03,2026-05-04T05:25:21Z
Долар США,42.9697,USD,2026-02-03,2026-05-02T19:18:29Z
Євро,50.9502,EUR,2026-02-04,2026-05-02T19:18:29Z
Фунт стерлінгів,59.0921,GBP,2026-02-04,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-04,2026-05-04T05:25:21Z
Долар США,43.1928,USD,2026-02-04,2026-05-02T19:18:29Z
Євро,51.035,EUR,2026-02-05,2026-05-02T19:18:29Z
Фунт стерлінгів,59.2329,GBP,2026-02-05,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-05,2026-05-04T05:25:21Z
Долар США,43.1695,USD,2026-02-05,2026-05-02T19:18:29Z
Євро,50.8972,EUR,2026-02-06,2026-05-02T19:18:29Z
Фунт стерлінгів,58.5719,GBP,2026-02-06,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-06,2026-05-04T05:25:21Z
Долар США,43.1405,USD,2026-02-06,2026-05-02T19:18:29Z
Євро,50.8972,EUR,2026-02-07,2026-05-02T19:18:29Z
Фунт стерлінгів,58.5719,GBP,2026-02-07,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-07,2026-05-04T05:25:21Z
Долар США,43.1405,USD,2026-02-07,2026-05-02T19:18:29Z
Євро,50.8972,EUR,2026-02-08,2026-05-02T19:18:29Z
Фунт стерлінгів,58.5719,GBP,2026-02-08,2026-05-02T19:18:29Z
Ukrainian Hryvnia,1.0,UAH,2026-02-08,2026-05-04T05:25:21Z
Долар США,43.1405,USD,2026-02-08,2026-05-02T19:18:29Z
Євро,50.763,EUR,2026-02-09,2026-05-02T19:18:30Z
Фунт стерлінгів,58.5032,GBP,2026-02-09,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-09,2026-05-04T05:25:21Z
Долар США,43.0487,USD,2026-02-09,2026-05-02T19:18:30Z
Євро,51.12,EUR,2026-02-10,2026-05-02T19:18:30Z
Фунт стерлінгів,58.7702,GBP,2026-02-10,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-10,2026-05-04T05:25:21Z
Долар США,43.0267,USD,2026-02-10,2026-05-02T19:18:30Z
Євро,51.2517,EUR,2026-02-11,2026-05-02T19:18:30Z
Фунт стерлінгів,58.9757,GBP,2026-02-11,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-11,2026-05-04T05:25:21Z
Долар США,43.0904,USD,2026-02-11,2026-05-02T19:18:30Z
Євро,51.2078,EUR,2026-02-12,2026-05-02T19:18:30Z
Фунт стерлінгів,58.8675,GBP,2026-02-12,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-12,2026-05-04T05:25:21Z
Долар США,43.0318,USD,2026-02-12,2026-05-02T19:18:30Z
Євро,51.0348,EUR,2026-02-13,2026-05-02T19:18:30Z
Фунт стерлінгів,58.5866,GBP,2026-02-13,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-13,2026-05-04T05:25:21Z
Долар США,42.993,USD,2026-02-13,2026-05-02T19:18:30Z
Євро,51.0348,EUR,2026-02-14,2026-05-02T19:18:30Z
Фунт стерлінгів,58.5866,GBP,2026-02-14,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-14,2026-05-04T05:25:21Z
Долар США,42.993,USD,2026-02-14,2026-05-02T19:18:30Z
Євро,51.0348,EUR,2026-02-15,2026-05-02T19:18:30Z
Фунт стерлінгів,58.5866,GBP,2026-02-15,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-15,2026-05-04T05:25:21Z
Долар США,42.993,USD,2026-02-15,2026-05-02T19:18:30Z
Євро,51.1276,EUR,2026-02-16,2026-05-02T19:18:30Z
Фунт стерлінгів,58.6532,GBP,2026-02-16,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-16,2026-05-04T05:25:21Z
Долар США,43.102,USD,2026-02-16,2026-05-02T19:18:30Z
Євро,51.1614,EUR,2026-02-17,2026-05-02T19:18:30Z
Фунт стерлінгів,58.891,GBP,2026-02-17,2026-05-02T19:18:30Z
Ukrainian Hryvnia,1.0,UAH,2026-02-17,2026-05-04T05:25:21Z
Долар США,43.1705,USD,2026-02-17,2026-05-02T19:18:30Z
Євро,51.1695,EUR,2026-02-18,2026-05-02T19:18:31Z
Фунт стерлінгів,58.6142,GBP,2026-02-18,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-18,2026-05-04T05:25:21Z
Долар США,43.2577,USD,2026-02-18,2026-05-02T19:18:31Z
Євро,51.2577,EUR,2026-02-19,2026-05-02T19:18:31Z
Фунт стерлінгів,58.7559,GBP,2026-02-19,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-19,2026-05-04T05:25:21Z
Долар США,43.292,USD,2026-02-19,2026-05-02T19:18:31Z
Євро,50.9163,EUR,2026-02-20,2026-05-02T19:18:31Z
Фунт стерлінгів,58.2456,GBP,2026-02-20,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-20,2026-05-04T05:25:21Z
Долар США,43.2667,USD,2026-02-20,2026-05-02T19:18:31Z
Євро,50.9163,EUR,2026-02-21,2026-05-02T19:18:31Z
Фунт стерлінгів,58.2456,GBP,2026-02-21,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-21,2026-05-04T05:25:21Z
Долар США,43.2667,USD,2026-02-21,2026-05-02T19:18:31Z
Євро,50.9163,EUR,2026-02-22,2026-05-02T19:18:31Z
Фунт стерлінгів,58.2456,GBP,2026-02-22,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-22,2026-05-04T05:25:21Z
Долар США,43.2667,USD,2026-02-22,2026-05-02T19:18:31Z
Євро,50.917,EUR,2026-02-23,2026-05-02T19:18:31Z
Фунт стерлінгів,58.3213,GBP,2026-02-23,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-23,2026-05-04T05:25:21Z
Долар США,43.2747,USD,2026-02-23,2026-05-02T19:18:31Z
Євро,51.0053,EUR,2026-02-24,2026-05-02T19:18:31Z
Фунт стерлінгів,58.3833,GBP,2026-02-24,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-24,2026-05-04T05:25:21Z
Долар США,43.2982,USD,2026-02-24,2026-05-02T19:18:31Z
Євро,50.9659,EUR,2026-02-25,2026-05-02T19:18:31Z
Фунт стерлінгів,58.3534,GBP,2026-02-25,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-25,2026-05-04T05:25:21Z
Долар США,43.2648,USD,2026-02-25,2026-05-02T19:18:31Z
Євро,50.962,EUR,2026-02-26,2026-05-02T19:18:31Z
Фунт стерлінгів,58.4687,GBP,2026-02-26,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-26,2026-05-04T05:25:21Z
Долар США,43.2413,USD,2026-02-26,2026-05-02T19:18:31Z
Євро,51.0244,EUR,2026-02-27,2026-05-02T19:18:31Z
Фунт стерлінгів,58.5383,GBP,2026-02-27,2026-05-02T19:18:31Z
Ukrainian Hryvnia,1.0,UAH,2026-02-27,2026-05-04T05:25:21Z
Долар США,43.2081,USD,2026-02-27,2026-05-02T19:18:31Z
Євро,51.0244,EUR,2026-02-28,2026-05-02T19:18:32Z
Фунт стерлінгів,58.5383,GBP,2026-02-28,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-02-28,2026-05-04T05:25:21Z
Долар США,43.2081,USD,2026-02-28,2026-05-02T19:18:32Z
Євро,51.0244,EUR,2026-03-01,2026-05-02T19:18:32Z
Фунт стерлінгів,58.5383,GBP,2026-03-01,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-01,2026-05-04T05:25:21Z
Долар США,43.2081,USD,2026-03-01,2026-05-02T19:18:32Z
Євро,50.8661,EUR,2026-03-02,2026-05-02T19:18:32Z
Фунт стерлінгів,58.0465,GBP,2026-03-02,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-02,2026-05-04T05:25:21Z
Долар США,43.0996,USD,2026-03-02,2026-05-02T19:18:32Z
Євро,50.6014,EUR,2026-03-03,2026-05-02T19:18:32Z
Фунт стерлінгів,57.9167,GBP,2026-03-03,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-03,2026-05-04T05:25:21Z
Долар США,43.2343,USD,2026-03-03,2026-05-02T19:18:32Z
Євро,50.4597,EUR,2026-03-04,2026-05-02T19:18:32Z
Фунт стерлінгів,57.8905,GBP,2026-03-04,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-04,2026-05-04T05:25:21Z
Долар США,43.4548,USD,2026-03-04,2026-05-02T19:18:32Z
Євро,50.8341,EUR,2026-03-05,2026-05-02T19:18:32Z
Фунт стерлінгів,58.3688,GBP,2026-03-05,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-05,2026-05-04T05:25:21Z
Долар США,43.717,USD,2026-03-05,2026-05-02T19:18:32Z
Євро,50.9036,EUR,2026-03-06,2026-05-02T19:18:32Z
Фунт стерлінгів,58.5479,GBP,2026-03-06,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-06,2026-05-04T05:25:21Z
Долар США,43.8069,USD,2026-03-06,2026-05-02T19:18:32Z
Євро,50.9036,EUR,2026-03-07,2026-05-02T19:18:32Z
Фунт стерлінгів,58.5479,GBP,2026-03-07,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-07,2026-05-04T05:25:21Z
Долар США,43.8069,USD,2026-03-07,2026-05-02T19:18:32Z
Євро,50.9036,EUR,2026-03-08,2026-05-02T19:18:32Z
Фунт стерлінгів,58.5479,GBP,2026-03-08,2026-05-02T19:18:32Z
Ukrainian Hryvnia,1.0,UAH,2026-03-08,2026-05-04T05:25:21Z
Долар США,43.8069,USD,2026-03-08,2026-05-02T19:18:32Z
Євро,50.5422,EUR,2026-03-09,2026-05-02T19:18:33Z
Фунт стерлінгів,58.2998,GBP,2026-03-09,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-09,2026-05-04T05:25:21Z
Долар США,43.7292,USD,2026-03-09,2026-05-02T19:18:33Z
Євро,50.7132,EUR,2026-03-10,2026-05-02T19:18:33Z
Фунт стерлінгів,58.6101,GBP,2026-03-10,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-10,2026-05-04T05:25:21Z
Долар США,43.8961,USD,2026-03-10,2026-05-02T19:18:33Z
Євро,51.0386,EUR,2026-03-11,2026-05-02T19:18:33Z
Фунт стерлінгів,58.9646,GBP,2026-03-11,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-11,2026-05-04T05:25:21Z
Долар США,43.8627,USD,2026-03-11,2026-05-02T19:18:33Z
Євро,50.9349,EUR,2026-03-12,2026-05-02T19:18:33Z
Фунт стерлінгів,58.9278,GBP,2026-03-12,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-12,2026-05-04T05:25:21Z
Долар США,43.9776,USD,2026-03-12,2026-05-02T19:18:33Z
Євро,50.956,EUR,2026-03-13,2026-05-02T19:18:33Z
Фунт стерлінгів,59.0799,GBP,2026-03-13,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-13,2026-05-04T05:25:21Z
Долар США,44.1636,USD,2026-03-13,2026-05-02T19:18:33Z
Євро,50.956,EUR,2026-03-14,2026-05-02T19:18:33Z
Фунт стерлінгів,59.0799,GBP,2026-03-14,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-14,2026-05-04T05:25:21Z
Долар США,44.1636,USD,2026-03-14,2026-05-02T19:18:33Z
Євро,50.956,EUR,2026-03-15,2026-05-02T19:18:33Z
Фунт стерлінгів,59.0799,GBP,2026-03-15,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-15,2026-05-04T05:25:21Z
Долар США,44.1636,USD,2026-03-15,2026-05-02T19:18:33Z
Євро,50.6661,EUR,2026-03-16,2026-05-02T19:18:33Z
Фунт стерлінгів,58.5779,GBP,2026-03-16,2026-05-02T19:18:33Z
Ukrainian Hryvnia,1.0,UAH,2026-03-16,2026-05-04T05:25:21Z
Долар США,44.1381,USD,2026-03-16,2026-05-02T19:18:33Z
Євро,50.5777,EUR,2026-03-17,2026-05-02T19:18:34Z
Фунт стерлінгів,58.5298,GBP,2026-03-17,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-17,2026-05-04T05:25:21Z
Долар США,44.0803,USD,2026-03-17,2026-05-02T19:18:34Z
Євро,50.6388,EUR,2026-03-18,2026-05-02T19:18:34Z
Фунт стерлінгів,58.5893,GBP,2026-03-18,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-18,2026-05-04T05:25:21Z
Долар США,43.9497,USD,2026-03-18,2026-05-02T19:18:34Z
Євро,50.5243,EUR,2026-03-19,2026-05-02T19:18:34Z
Фунт стерлінгів,58.4607,GBP,2026-03-19,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-19,2026-05-04T05:25:21Z
Долар США,43.896,USD,2026-03-19,2026-05-02T19:18:34Z
Євро,50.5032,EUR,2026-03-20,2026-05-02T19:18:34Z
Фунт стерлінгів,58.4691,GBP,2026-03-20,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-20,2026-05-04T05:25:21Z
Долар США,43.9617,USD,2026-03-20,2026-05-02T19:18:34Z
Євро,50.5032,EUR,2026-03-21,2026-05-02T19:18:34Z
Фунт стерлінгів,58.4691,GBP,2026-03-21,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-21,2026-05-04T05:25:21Z
Долар США,43.9617,USD,2026-03-21,2026-05-02T19:18:34Z
Євро,50.5032,EUR,2026-03-22,2026-05-02T19:18:34Z
Фунт стерлінгів,58.4691,GBP,2026-03-22,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-22,2026-05-04T05:25:21Z
Долар США,43.9617,USD,2026-03-22,2026-05-02T19:18:34Z
Євро,50.6778,EUR,2026-03-23,2026-05-02T19:18:34Z
Фунт стерлінгів,58.6355,GBP,2026-03-23,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-23,2026-05-04T05:25:21Z
Долар США,43.82,USD,2026-03-23,2026-05-02T19:18:34Z
Євро,50.883,EUR,2026-03-24,2026-05-02T19:18:34Z
Фунт стерлінгів,58.8336,GBP,2026-03-24,2026-05-02T19:18:34Z
Ukrainian Hryvnia,1.0,UAH,2026-03-24,2026-05-04T05:25:21Z
Долар США,43.8288,USD,2026-03-24,2026-05-02T19:18:34Z
Євро,50.8951,EUR,2026-03-25,2026-05-02T19:18:35Z
Фунт стерлінгів,58.8271,GBP,2026-03-25,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-25,2026-05-04T05:25:21Z
Долар США,43.9205,USD,2026-03-25,2026-05-02T19:18:35Z
Євро,50.8523,EUR,2026-03-26,2026-05-02T19:18:35Z
Фунт стерлінгів,58.7624,GBP,2026-03-26,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-26,2026-05-04T05:25:21Z
Долар США,43.8722,USD,2026-03-26,2026-05-02T19:18:35Z
Євро,50.6104,EUR,2026-03-27,2026-05-02T19:18:35Z
Фунт стерлінгів,58.4899,GBP,2026-03-27,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-27,2026-05-04T05:25:21Z
Долар США,43.885,USD,2026-03-27,2026-05-02T19:18:35Z
Євро,50.6104,EUR,2026-03-28,2026-05-02T19:18:35Z
Фунт стерлінгів,58.4899,GBP,2026-03-28,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-28,2026-05-04T05:25:21Z
Долар США,43.885,USD,2026-03-28,2026-05-02T19:18:35Z
Євро,50.6104,EUR,2026-03-29,2026-05-02T19:18:35Z
Фунт стерлінгів,58.4899,GBP,2026-03-29,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-29,2026-05-04T05:25:21Z
Долар США,43.885,USD,2026-03-29,2026-05-02T19:18:35Z
Євро,50.4861,EUR,2026-03-30,2026-05-02T19:18:35Z
Фунт стерлінгів,58.2327,GBP,2026-03-30,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-30,2026-05-04T05:25:21Z
Долар США,43.84,USD,2026-03-30,2026-05-02T19:18:35Z
Євро,50.3123,EUR,2026-03-31,2026-05-02T19:18:35Z
Фунт стерлінгів,57.9546,GBP,2026-03-31,2026-05-02T19:18:35Z
Ukrainian Hryvnia,1.0,UAH,2026-03-31,2026-05-04T05:25:21Z
Долар США,43.7955,USD,2026-03-31,2026-05-02T19:18:35Z
